time_s,target_x_m,target_y_m,target_z_m,target_vx_mps,target_vy_mps,target_vz_mps,interceptor_x_m,interceptor_y_m,interceptor_z_m,interceptor_vx_mps,interceptor_vy_mps,interceptor_vz_mps,commanded_ax_mps2,commanded_ay_mps2,commanded_az_mps2,applied_ax_mps2,applied_ay_mps2,applied_az_mps2,distance_m,closing_speed_mps,los_rate_norm_radps
0.0,800.0,200.0,300.0,11.851899951802347,2.9629749879505867,4.44446248192588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,877.4964387392122,0.0,6.087569352839962e-19
0.05,800.5925949975901,200.14814874939754,300.2222231240963,11.851899951802347,2.9629749879505867,4.44446248192588,0.00625,0.0025000000000000005,0.021367608086182113,0.125,0.05,0.42735216172364227,22.79211529192759,5.698028822981898,8.547043234472845,2.5,1.0,8.547043234472845,878.1328658935741,0.0,0.00040563577168143035
0.1,801.1851899951803,200.29629749879507,300.44444624819255,11.851899951802347,2.9629749879505867,4.44446248192588,0.018750000000000003,0.0075000000000000015,0.06276693206358401,0.25,0.1,0.8279864795480378,22.6359263160526,5.635534737459816,8.012686356487912,2.5,1.0,8.012686356487912,878.7561779281225,0.0,0.0007819076248937256
0.15000000000000002,801.7777849927704,200.4444462481926,300.6666693722888,11.851899951802347,2.9629749879505867,4.44446248192588,0.037500000000000006,0.015000000000000003,0.12294518656119018,0.375,0.15000000000000002,1.2035650899521233,22.47979408522067,5.573045516523357,7.51157220808171,2.5,1.0,7.51157220808171,879.3668049517634,0.0,0.0011307070465946467
0.2,802.3703799903606,200.59259499759014,300.8888924963851,11.851899951802347,2.9629749879505867,4.44446248192588,0.0625,0.025000000000000005,0.2007275271585942,0.5,0.2,1.5556468119480804,22.32371459273904,5.5105601775136615,7.04163443991914,2.5,1.0,7.04163443991914,879.9651510203713,0.0,0.001453803160747138
0.25,802.9629749879507,200.74074374698768,301.11111562048137,11.851899951802347,2.9629749879505867,4.44446248192588,0.09375,0.037500000000000006,0.2950122055583282,0.625,0.25,1.8856935679946796,22.167684087132677,5.448077800760888,6.600935120931981,2.5,1.0,6.600935120931981,880.5515956246137,0.0,0.0017528508444435817
0.30000000000000004,803.5555699855408,200.8888924963852,301.33333874457765,11.851899951802347,2.9629749879505867,4.44446248192588,0.13125,0.052500000000000005,0.4047660258567864,0.75,0.3,2.1950764059691643,22.011699056046695,5.385597525603762,6.187656759489697,2.5,1.0,6.187656759489697,881.1264951036924,0.0,0.002029398283483517
0.35000000000000003,804.148164983131,201.03704124578275,301.5555618686739,11.851899951802347,2.9629749879505867,4.44446248192588,0.17500000000000002,0.07,0.5290200832054771,0.875,0.35,2.4850811469738145,21.855756211156663,5.32311854665701,5.800094820093009,2.5,1.0,5.800094820093009,881.6901839872073,0.0,0.0022848940086612275
0.4,804.7407599807211,201.18518999518028,301.7777849927702,11.851899951802347,2.9629749879505867,4.44446248192588,0.22500000000000003,0.09000000000000001,0.6668657673162683,1.0,0.39999999999999997,2.7569136822158256,21.699852474024624,5.260640110311485,5.43665070484022,2.5,1.0,5.43665070484022,882.2429762675092,0.0,0.0025206934507165098
0.45,805.3333549783113,201.33333874457782,302.00000811686647,11.851899951802347,2.9629749879505867,4.44446248192588,0.28125000000000006,0.11250000000000002,0.8174510143541143,1.125,0.44999999999999996,3.011704940756918,21.543984962842455,5.1981615114527475,5.095825170821852,2.5,1.0,5.095825170821852,882.7851666050407,0.0,0.0027380650488887134
0.5,805.9259499759014,201.48148749397535,302.22223124096274,11.851899951802347,2.9629749879505867,4.44446248192588,0.34375000000000006,0.1375,0.9799767917829265,1.25,0.49999999999999994,3.2505155485762454,21.388150980007524,5.1356820903846305,4.776212156386549,2.5,1.0,4.776212156386549,883.3170314692295,0.0,0.0029381959452637347
0.55,806.5185449734915,201.6296362433729,302.444454365059,11.851899951802347,2.9629749879505867,4.44446248192588,0.4125000000000001,0.165,1.153693801688985,1.375,0.5499999999999999,3.4743401981211695,21.23234800047904,5.07320122994515,4.476492990898482,2.5,1.0,4.476492990898482,883.8388302175534,0.0,0.0031221972945908324
0.6000000000000001,807.1111399710817,201.77778499277042,302.6666774891553,11.851899951802347,2.9629749879505867,4.44446248192588,0.4875000000000001,0.195,1.3378993890054933,1.5,0.6,3.6841117463301636,21.076573660866522,5.010718352802916,4.195430964179887,2.5,1.0,4.195430964179887,884.3508061154058,0.0,0.00329110921694879
0.65,807.7037349686718,201.92593374216796,302.88890061325156,11.851899951802347,2.9629749879505867,4.44446248192588,0.5687500000000001,0.2275,1.5319346419052726,1.625,0.65,3.8807050579955873,20.920825749204806,4.948232918922837,3.931866233308473,2.5,1.0,3.931866233308473,884.853187299383,0.0,0.003445905418538959
0.7000000000000001,808.296329966262,202.0740824915655,303.11112373734784,11.851899951802347,2.9629749879505867,4.44446248192588,0.6562500000000001,0.2625,1.7351816724196127,1.75,0.7000000000000001,4.064940610286804,20.765102195372712,4.885744423190652,3.6847110458243373,2.5,1.0,3.6847110458243373,885.3461876865924,0.0,0.0035874975039577464
0.75,808.8889249638521,202.22223124096303,303.3333468614441,11.851899951802347,2.9629749879505867,4.44446248192588,0.7500000000000001,0.30000000000000004,1.9470610660832028,1.875,0.7500000000000001,4.237587873271803,20.609401062115236,4.8232523931864,3.4529452596999786,2.5,1.0,3.4529452596999786,885.8300078325312,0.0,0.0037167390015370914
0.8,809.4815199614422,202.37037999036056,303.5555699855404,11.851899951802347,2.9629749879505867,4.44446248192588,0.8500000000000001,0.3400000000000001,2.1670294901009077,2.0,0.8000000000000002,4.399368480354095,20.453720536631476,4.760756387097607,3.235612141645839,2.5,1.0,3.235612141645839,886.3048357400365,0.0,0.003834429121723254
0.8500000000000001,810.0741149590324,202.5185287397581,303.77779310963666,11.851899951802347,2.9629749879505867,4.44446248192588,0.95625,0.38250000000000006,2.39457745018478,2.125,0.8500000000000002,4.5509592016774425,20.29805892269284,4.698255991763459,3.0318144264669487,2.5,1.0,3.0318144264669487,886.7708476217376,0.0,0.0039413162669791075
